time_s,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,r_2.0_cm
3300,2.5359243639604507,2.5351318040078605,2.5326757559828561,2.5283204797431882,2.5216720645740649,2.5121791227144783,2.4991378109787354,2.481704416577891,2.4589187628864231,2.4297406709280285,2.393100508774932,2.3479627214378054,2.2933990536524034,2.2286659793620727,2.1532790405991307,2.0670760295975934,1.9702615891292568,1.8634281484897328,1.7475504252933716,1.6239505341236407,1.4942306419471225
3360,2.5341780069362718,2.5333284298932415,2.5307009071041033,2.52605882870541,2.5190081546150243,2.5089999130017513,2.4953373992179118,2.4771909746096088,2.4536233186202367,2.4236269526082133,2.3861746888016269,2.340281634992893,2.2850753893068139,2.219869115386726,2.1442307099131233,2.0580408376848243,1.9615332764134332,1.855312606639371,1.7403454646416388,1.6179187468521223,1.4895381641688881
3420,2.5322899041507383,2.5313824733260262,2.5285812329618094,2.5236494803827973,2.5161942572202958,2.5056705236796173,2.491390352029395,2.4725397096619375,2.4482053015061123,2.4174129041308414,2.3791775067913754,2.332563675038215,2.2767527437891122,2.2111117521474606,2.1352578289795052,2.0491114622927338,1.9529325875665449,1.8473342382011992,1.7332677396370642,1.611970898339915,1.4848818805361252
3480,2.5302559779859202,2.5292900515267789,2.5263134258544921,2.5210900525984008,2.5132292123267082,2.5021912318251411,2.4872984885464695,2.4677539532199986,2.4426693759545244,2.4111041921565532,2.3721151645277114,2.3248150084922266,2.2684366275548751,2.202398116776406,2.1263626903303354,2.040287443542657,1.9444550512505869,1.8394827390428636,1.7263028868721373,1.6061087334319391,1.4802426693504571
3540,2.5280726162160123,2.5270477494193417,2.523894651007121,2.5183786392717171,2.5101123292427534,2.498562756919477,2.4830640106505681,2.4628373139848936,2.4370203228932734,2.4047063900891601,2.3649935537658857,2.3170413714872198,2.2601322727456292,2.1937328186134435,2.1175493769378666,2.031572437054542,1.9361038106235511,1.8317610551443757,1.7194526201917395,1.60031550430039,1.475617051506114
3600,2.5257367078080404,2.5246526522679091,2.5213225701044957,2.5155138205627625,2.5068433835688073,2.4947862544823014,2.4786895211737612,2.4577937753667873,2.4312633008557105,2.3982254978891948,2.3578190764126887,2.3092490432279775,2.2518452158399906,2.1851198567287282,2.1088192257144431,2.0229635347617685,1.9278696704692262,1.8241509831334293,1.7126890530414189,1.5945800941843764,1.471093124579034
3660,2.5232456839115933,2.5221023862014538,2.518595380094057,2.5124946969857378,2.5034226381904441,2.4908633019685316,2.4741779248396831,2.4526274125229413,2.4254032062227884,2.3916666808792399,2.3505964171308871,2.3014413047652678,2.2435762800608035,2.1765564793319472,2.1001648563757862,2.0144479802608881,1.9197346846373597,1.8166331568036223,1.7060062474675703,1.5889332394788647,1.4666565097136897
3720,2.5205974925219898,2.5193950821716751,2.5157117431909968,2.5093207570771048,2.4998506133848934,2.4867955317134829,2.4695318912814623,2.4473416859932478,2.4194438801200402,2.3850336299090178,2.3433285516050852,2.2936199443909961,2.2353258354485894,2.1680417881203544,2.0915847465955202,2.0060249816756901,1.9117016489684566,1.8092193181134273,1.6994257228621157,1.5833712946305849,1.4622495684601027
3780,2.5177904618994109,2.516529235550085,2.5126706384058863,2.5059917278344774,2.496127964963248,2.4825846010792016,2.464754031245934,2.4419399949070923,2.4133892518221547,2.3783304924891677,2.3360195225993339,2.2857885902146791,2.2270967849550782,2.1595776122151369,2.0830793082064276,1.9976934871603644,1.9037684449097259,1.8019049732487824,1.6929342707662529,1.5778802581393545,1.4579172194822538
3840,2.5148232867454192,2.5135037012259467,2.509471384535046,2.502507646642294,2.4922556250332133,2.4782324102604463,2.4598471672980278,2.4364259132279287,2.4072433553059156,2.371561365520801,2.3286730094671118,2.2779499715041451,2.2188903802430122,2.1511633305277367,2.0746460138230085,1.9894495486002157,1.8959303613721379,1.7946853850577371,1.6865312830557118,1.5724679473041956,1.4536127745980429
3900,2.5116950676545318,2.5103177303205331,2.5061136671196858,2.4988688669271899,2.488234767988776,2.4737410036040157,2.4548141447335436,2.4308028999223064,2.4010099741409481,2.3647300013037675,2.321292364850799,2.2701067366718886,2.2107084293498458,2.142800068658048,2.0662858369571491,1.9812948101444761,1.8881906810062787,1.7875662640186811,1.6802213455216239,1.5671194517942402,1.4493146831805872
3960,2.5084052916976023,2.5069709503563851,2.5025975188406941,2.4950760441775031,2.4840668164722421,2.4691126236147065,2.4496579796464446,2.4250746050946685,2.3946931782347578,2.3578406299607235,2.3138817103658766,2.2622626612871253,2.2025541949479268,2.1344905024246601,2.0580008621553652,1.9732307234070277,1.8805497285942956,1.7805446030527536,1.6739944569993339,1.5618256968933522,1.4450480694244732
